match_name,gi_num,present_in_rs_v219
Erwinia phage vB_EamP-L1,422935523,yes
Cronobacter phage ESP2949-1,422935477,yes
Clostridium phage phiCP34O,422935424,yes
Campylobacter phage CP21,422935113,yes
Clostridium phage phiCP13O,422935057,yes
Escherichia phage wV7,422934783,yes
Erwinia phage vB_EamM-Y2,422934690,yes
Enterobacteria phage ime09,422934421,yes
Bacillus phage phIS3501,422934297,yes
Enterobacteria phage IME10,422934269,yes
Enterobacteria phage Bp7,422934005,yes
Clostridium phage phiCP26F,422933946,yes
Riemerella phage RAP44,418489849,yes
Lactobacillus phage Sha1,418489788,yes
Salmonella phage RE-2010,418489681,yes
Lactobacillus phage LF1,418489383,yes
Enterobacter phage EcP1,418489303,yes
Vibrio phage CP-T1,418489187,yes
Lactobacillus phage JCL1032,418489109,yes
Haemophilus phage SuMu,418489035,yes
Pantoea phage LIMElight,418488941,yes
Caulobacter phage phiCb5,418488936,yes
Escherichia phage PhaxI,418488631,yes
Pseudomonas phage NH-4,418488446,yes
Pseudomonas phage JG004,418488227,yes
Lactobacillus phage c5,418488152,yes
Staphylococcus phage GH15,418487912,yes
Brucella phage Pr,418487835,yes
Brucella phage Tb,418487685,yes
Escherichia phage TL-2011b,418487627,yes
Synechococcus phage S-MbCM6,418487384,yes
Synechococcus phage metaG-MbCM1,418487144,yes
Escherichia phage TL-2011c,418487051,yes
Pseudomonas phage JG024,418486896,yes
Enterobacter phage IME11,414090494,yes
Clostridium phage phiMMP04,414090442,yes
Clostridium phage phiMMP02,414090365,yes
Streptococcus phage phiNJ2,414090203,yes
Salmonella phage SPN19,414090130,yes
Stenotrophomonas phage IME15,414090084,yes
Streptomyces phage R4,414089985,yes
Caulobacter phage CcrSwift,414089586,yes
Caulobacter phage CcrKarma,414089228,yes
Caulobacter phage CcrRogue,414088861,yes
Caulobacter phage CcrMagneto,414088509,yes
Caulobacter phage CcrColossus,414088056,yes
Caulobacter phage phiCbK,414087713,yes
Enterobacteria phage vB_EcoS_ACG-M12,414087634,yes
Enterobacteria phage vB_EcoP_ACG-C91,414087577,yes
Cronobacter phage vB_CsaP_GAP52,414087461,yes
Cronobacter phage vB_CsaM_GAP32,414086915,yes
Cronobacter phage vB_CsaM_GAP31,414086645,yes
Enterobacteria phage vB_EcoM_ACG-C40,414086362,yes
Cronobacter phage vB_CsaM_GAP161,414086086,yes
Bacillus phage B4,408905858,yes
Campylobacter phage CP30A,408905856,yes
Bacillus phage BCP78,408905855,yes
Escherichia phage vB_EcoP_GA2A,408905854,yes
Bacillus phage BPS13,408905852,yes
Bacillus phage Bastille,408905851,yes
Enterobacteria phage HX01,408905850,yes
Escherichia phage LM33_P1,408905849,yes
